timestamp,open,high,low,close,volume
2025-03-23 18:00:00,20050.5,20072.5,20050.5,20066.75,1215
2025-03-23 18:01:00,20068.0,20099.0,20066.25,20096.0,947
2025-03-23 18:02:00,20096.0,20102.5,20085.5,20102.5,603
2025-03-23 18:03:00,20102.5,20110.0,20100.0,20108.25,521
2025-03-23 18:04:00,20108.25,20115.75,20105.0,20112.5,487
2025-03-23 18:05:00,20112.5,20118.0,20110.0,20115.25,392
2025-03-23 18:06:00,20115.25,20120.5,20112.0,20118.75,418
2025-03-23 18:07:00,20118.75,20125.0,20116.5,20123.0,356
2025-03-23 18:08:00,20123.0,20128.5,20120.0,20125.75,412
2025-03-23 18:09:00,20125.75,20130.0,20122.5,20127.0,387
2025-03-23 18:10:00,20127.0,20132.5,20124.0,20130.25,402
2025-03-23 18:11:00,20130.25,20135.0,20127.5,20132.0,378
2025-03-23 18:12:00,20132.0,20138.5,20130.0,20136.75,425
2025-03-23 18:13:00,20136.75,20142.0,20134.5,20140.0,398
2025-03-23 18:14:00,20140.0,20145.5,20137.0,20143.25,412
2025-03-23 18:15:00,20143.25,20148.0,20140.5,20145.0,387
